pair,timeframe,strategy,family,rr,trail_trigger,trail_step,trades,wins,winrate,net_pnl,pnl_per_day,days_ge_20,active_days
BTCUSDm,1m,z_revert_1.0,volatility,2.0,2.0,1.0,25650,13300,51.85,431493.03,7191.55,60,60
BTCUSDm,1m,pressure_thrust_0.5,custom,2.0,2.0,1.0,24022,11065,46.06,413961.78,6899.36,60,60
BTCUSDm,1m,donchian_break_20_k1.0,structure,2.0,2.0,1.0,21960,10009,45.58,386804.06,6446.73,60,60
BTCUSDm,1m,z_break_1.2,volatility,2.0,2.0,1.0,21260,9660,45.44,377679.48,6294.66,60,60
BTCUSDm,1m,z_revert_1.2,volatility,2.0,2.0,1.0,21260,11088,52.15,368184.08,6136.4,60,60
BTCUSDm,1m,rsi_trend_40_60,regime,2.0,2.0,1.0,17933,8134,45.36,345638.45,5760.64,60,60
BTCUSDm,1m,rsi_revert_40_60,regime,2.0,2.0,1.0,17933,9401,52.42,334410.77,5573.51,60,60
BTCUSDm,1m,pressure_thrust_0.65,custom,2.0,2.0,1.0,17013,7865,46.23,306717.47,5111.96,60,60
BTCUSDm,1m,z_break_1.5,volatility,2.0,2.0,1.0,14904,6748,45.28,280753.04,4679.22,60,60
BTCUSDm,1m,z_revert_1.5,volatility,2.0,2.0,1.0,14904,7825,52.5,269353.7,4489.23,60,60
BTCUSDm,1m,donchian_break_20_k0.6,structure,2.0,2.0,1.0,13330,5901,44.27,243207.03,4053.45,60,60
BTCUSDm,1m,donchian_break_50_k1.0,structure,2.0,2.0,1.0,12027,5378,44.72,238955.43,3982.59,60,60
BTCUSDm,1m,pressure_thrust_0.8,custom,2.0,2.0,1.0,11154,5067,45.43,210675.09,3511.25,60,60
BTCUSDm,1m,rsi_trend_35_65,regime,2.0,2.0,1.0,8850,3911,44.19,195405.65,3256.76,60,60
BTCUSDm,1m,rsi_revert_35_65,regime,2.0,2.0,1.0,8850,4762,53.81,194420.13,3240.34,60,60
BTCUSDm,1m,donchian_break_20_k0.4,structure,2.0,2.0,1.0,8961,3869,43.18,166580.54,2776.34,60,60
BTCUSDm,1m,donchian_break_50_k0.6,structure,2.0,2.0,1.0,6987,3066,43.88,146180.22,2436.34,60,60
BTCUSDm,1m,rsi_revert_30_70,regime,2.0,2.0,1.0,3739,2021,54.05,99131.3,1652.19,60,60
BTCUSDm,1m,rsi_trend_30_70,regime,2.0,2.0,1.0,3739,1646,44.02,98979.63,1649.66,60,60
BTCUSDm,1m,engulfing_body_0.2,pattern,2.0,2.0,1.0,5708,2717,47.6,97944.46,1632.41,60,60
BTCUSDm,1m,donchian_break_50_k0.4,structure,2.0,2.0,1.0,4597,1939,42.18,96889.47,1614.82,60,60
