time,open,high,low,close,volume
2026-03-25 01:25:00,70691.01,70732.22,70650.92,70730.68,254
2026-03-25 01:30:00,70728.32,70757.94,70597.11,70628.25,406
2026-03-25 01:35:00,70629.24,70697.36,70601.39,70639.67,300
2026-03-25 01:40:00,70639.57,70780.86,70608.41,70708.2,333
2026-03-25 01:45:00,70704.85,70770.89,70671.14,70738.79,243
2026-03-25 01:50:00,70737.85,70786.95,70725.48,70740.96,208
2026-03-25 01:55:00,70740.08,70759.58,70641.09,70647.54,229
2026-03-25 02:00:00,70649.45,70689.1,70557.15,70614.03,330
2026-03-25 02:05:00,70612.07,70620.49,70561.71,70579.4,200
2026-03-25 02:10:00,70578.71,70619.12,70501.62,70577.38,263
2026-03-25 02:15:00,70581.07,70623.69,70490.15,70566.69,263
2026-03-25 02:20:00,70565.98,70599.41,70538.47,70548.44,220
2026-03-25 02:25:00,70547.97,70633.47,70533.84,70561.46,209
2026-03-25 02:30:00,70561.25,70620.89,70478.25,70597.92,254
2026-03-25 02:35:00,70596.61,70736.04,70574.2,70679.81,251
2026-03-25 02:40:00,70683.09,70716.24,70645.25,70653.61,218
2026-03-25 02:45:00,70661.29,70714.31,70580.04,70597.09,239
2026-03-25 02:50:00,70602.32,70617.81,70540.88,70550.46,226
2026-03-25 02:55:00,70556.31,70556.46,70452.9,70489.44,226
2026-03-25 03:00:00,70491.23,70539.36,70471.14,70524.47,195
2026-03-25 03:05:00,70521.98,70521.98,70433.63,70465.19,239
2026-03-25 03:10:00,70460.03,70503.62,70377.72,70463.48,252
2026-03-25 03:15:00,70465.09,70476.27,70365.34,70443.69,209
